epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.295,0.89823,2.45973,1.06625,0.45621,0.68485,0.57969,0.44395,0.85765,1.40822,1.06606,0.00333025,0.00333025,0.00333025
2,730.607,0.80777,1.27471,1.02104,0.4389,0.67581,0.51499,0.38999,0.90204,1.69686,1.07776,0.00659761,0.00659761,0.00659761
3,995.032,0.83834,1.23393,1.04208,0.4092,0.58846,0.52612,0.41681,0.78764,1.59794,1.00625,0.00979897,0.00979897,0.00979897
4,1258.79,0.83772,1.16547,1.0486,0.63708,0.73262,0.73457,0.57177,0.82742,1.05609,1.05686,0.009703,0.009703,0.009703
5,1576.12,0.79793,1.01389,1.03071,0.68364,0.72555,0.78895,0.62212,0.80128,0.98397,1.03353,0.009604,0.009604,0.009604
6,1892.9,0.77832,0.91241,1.02316,0.92196,0.90101,0.96408,0.74585,0.86644,0.52793,1.09376,0.009505,0.009505,0.009505
7,2157.82,0.76242,0.85007,1.01813,0.84213,0.8403,0.90605,0.7082,0.8273,0.66675,1.07244,0.009406,0.009406,0.009406
8,2470.38,0.75285,0.80251,1.0108,0.54201,0.62475,0.62004,0.46442,0.8614,1.49628,1.08764,0.009307,0.009307,0.009307
9,2699.75,0.74723,0.76464,1.0091,0.60257,0.71128,0.72848,0.54914,0.8956,1.24976,1.11452,0.009208,0.009208,0.009208
10,3010.64,0.74165,0.72323,1.00497,0.81239,0.81542,0.90987,0.71136,0.84028,0.79201,1.08994,0.009109,0.009109,0.009109
11,3240.06,0.73426,0.70778,1.00494,0.52336,0.62017,0.5925,0.46739,0.79067,1.72671,1.03616,0.00901,0.00901,0.00901
12,3506.23,0.73064,0.6833,0.99948,0.95187,0.95888,0.98242,0.77517,0.83596,0.40375,1.08497,0.008911,0.008911,0.008911
13,3770.72,0.72496,0.66332,1.00119,0.70633,0.78312,0.8549,0.67625,0.8057,0.9713,1.05899,0.008812,0.008812,0.008812
14,4091.12,0.71873,0.64295,0.99909,0.9608,0.94759,0.98814,0.7696,0.86379,0.39568,1.09151,0.008713,0.008713,0.008713
