epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,453.225,0.95106,2.46105,1.16518,0.57829,0.65111,0.64244,0.52213,0.74629,1.17404,1.01602,0.00333025,0.00333025,0.00333025
2,1180.8,0.81811,1.28051,1.05268,0.52258,0.63383,0.61955,0.49589,0.81019,1.21535,1.05006,0.00659761,0.00659761,0.00659761
3,1721.64,0.84213,1.19093,1.06147,0.57865,0.70751,0.71899,0.56786,0.77664,1.13883,1.0414,0.00979897,0.00979897,0.00979897
4,2281.47,0.83994,1.11469,1.05525,0.50809,0.59347,0.58332,0.45424,0.80965,1.35013,1.05748,0.009703,0.009703,0.009703
5,2781.29,0.8019,0.96946,1.02735,0.66095,0.61664,0.74929,0.58348,0.80977,1.21708,1.05808,0.009604,0.009604,0.009604
6,3319.29,0.7818,0.87809,1.01525,0.47555,0.65296,0.61933,0.48425,0.80045,1.50011,1.05405,0.009505,0.009505,0.009505
7,3796.09,0.76802,0.82285,1.00726,0.58689,0.73326,0.69111,0.54588,0.75556,1.26585,1.02218,0.009406,0.009406,0.009406
8,4333.67,0.75766,0.76956,1.00203,0.90677,0.87978,0.95534,0.75289,0.81351,0.55178,1.06763,0.009307,0.009307,0.009307
9,4808.95,0.74939,0.73688,0.99801,0.90336,0.93881,0.97321,0.75234,0.86491,0.46307,1.09515,0.009208,0.009208,0.009208
10,5377.86,0.74195,0.70327,0.99449,0.60917,0.61495,0.68269,0.53426,0.78628,1.64784,1.04778,0.009109,0.009109,0.009109
11,5954.65,0.74087,0.69127,0.99133,0.71527,0.78157,0.82867,0.66481,0.76351,0.85485,1.02878,0.00901,0.00901,0.00901
12,6531.75,0.7336,0.65683,0.98617,0.90993,0.93874,0.97966,0.78081,0.80118,0.42487,1.05638,0.008911,0.008911,0.008911
13,7021.2,0.72505,0.64412,0.98636,0.95806,0.94324,0.98401,0.77334,0.82366,0.37389,1.06503,0.008812,0.008812,0.008812
14,7567.03,0.71928,0.62097,0.98399,0.71054,0.84113,0.86267,0.69082,0.76634,0.82881,1.03214,0.008713,0.008713,0.008713
15,8056.22,0.72,0.61915,0.98356,0.96674,0.9715,0.99092,0.77925,0.85641,0.33583,1.08716,0.008614,0.008614,0.008614
